Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2012,426.75,431.60,426.75,428.30,429.173707854971184825,352592,6888,151323216.00,61846,17.54,4.85,1.55
28-December-2012,432.50,433.75,426.50,428.35,429.792092099332847389,539157,9413,231725415.00,119993,22.26,7.25,-4.15
27-December-2012,433.50,436.75,430.00,430.90,433.609202002154907870,733210,12829,317926603.00,121819,16.61,6.75,-2.60
26-December-2012,428.30,433.50,428.00,429.75,430.716268093663270902,421211,8297,181422430.00,74663,17.73,5.50,1.45
24-December-2012,430.00,435.50,426.85,428.45,431.128015676066702161,963507,16467,415394861.00,139554,14.48,8.65,-1.55
21-December-2012,427.90,436.25,425.20,429.55,431.048370555533212267,1292956,21292,557326577.00,183801,14.22,11.05,1.65
20-December-2012,424.00,433.65,416.05,431.40,427.333032406007490347,1603931,23150,685412698.00,378378,23.59,17.60,7.40
19-December-2012,417.00,424.85,416.00,423.35,421.476552210074513452,1302852,23539,549121569.00,390021,29.94,8.85,6.35
18-December-2012,402.00,415.85,396.70,413.95,408.791007627417409217,1937353,30485,791972485.00,614951,31.74,19.15,11.95
17-December-2012,399.00,402.20,396.10,398.95,399.230582026369281838,750722,9996,299711181.00,159868,21.30,6.10,-0.05
14-December-2012,389.00,400.50,387.30,397.25,393.413535862795701638,633916,10105,249391135.00,222788,35.14,13.20,8.25
13-December-2012,396.90,397.80,387.20,388.20,392.205159527908967613,415852,7665,163099300.00,120693,29.02,10.60,-8.70
12-December-2012,398.10,400.40,394.20,395.25,396.637097739138555465,342657,6709,135910478.00,87659,25.58,6.20,-2.85
11-December-2012,401.50,403.00,393.15,396.10,397.897399573916672157,455310,8440,181166665.00,103146,22.65,9.85,-5.40
10-December-2012,394.50,400.85,394.50,400.25,399.019475666955325312,454978,8228,181545083.00,120344,26.45,6.35,5.75
7-December-2012,401.90,403.90,392.80,394.90,397.290704909618859461,568924,10944,226028217.00,126603,22.25,11.10,-7.00
6-December-2012,400.00,402.35,394.05,399.65,398.009012670053132480,428175,8143,170417509.00,105397,24.62,8.30,-0.35
5-December-2012,394.40,399.50,392.65,397.65,397.689066608579297039,642710,11665,255598740.00,188401,29.31,6.85,3.25
4-December-2012,391.00,392.85,387.00,389.35,389.586666702410856225,373021,7369,145324008.00,84657,22.69,5.85,-1.65
3-December-2012,386.10,393.00,386.10,390.65,390.826929932703050967,502103,10079,196235374.00,135381,26.96,6.90,4.55
30-November-2012,377.00,387.10,377.00,385.40,384.222690314958805951,647545,12728,248801482.00,216354,33.41,10.10,8.40
29-November-2012,376.00,381.70,375.75,376.95,378.401695063526287893,582987,10396,220603269.00,175170,30.05,5.95,0.95
27-November-2012,375.00,378.95,373.60,376.05,376.280722430216201309,504021,9362,189653386.00,189124,37.52,5.35,1.05
26-November-2012,367.00,374.00,364.50,371.50,371.568401922390155619,660844,11606,245548749.00,187910,28.43,9.50,4.50
23-November-2012,366.50,368.25,361.30,364.35,364.583615679851607747,506765,8997,184758216.00,140425,27.71,6.95,-2.15
22-November-2012,367.35,369.20,363.00,365.90,366.623981055231756984,489845,9148,179588924.00,117021,23.89,6.20,-1.45
21-November-2012,362.50,366.40,360.25,364.35,363.961316897639696488,554971,10907,201987976.00,122632,22.10,6.15,1.85
20-November-2012,368.25,368.40,359.15,361.25,363.698279879648345032,757447,12894,275482171.00,219498,28.98,9.25,-7.00
19-November-2012,372.95,373.70,362.90,364.10,366.518605964576502517,764916,14479,280355946.00,286490,37.45,10.80,-8.85
16-November-2012,376.00,379.95,369.10,370.05,375.290255926919451895,579306,11475,217407897.00,256730,44.32,10.85,-5.95
15-November-2012,384.95,384.95,374.50,375.75,376.950124529106364835,783351,16218,295284257.00,268301,34.25,10.45,-9.20
13-November-2012,386.40,387.30,384.35,386.00,386.246106197858856385,223432,5842,86299740.00,134562,60.23,2.95,-0.40
12-November-2012,385.00,386.30,381.20,383.85,383.723276662323002967,688359,14967,264139371.00,231952,33.70,5.10,-1.15
9-November-2012,404.90,408.85,385.40,390.55,398.926655754536271762,1385003,23632,552514615.00,272760,19.69,23.45,-14.35
8-November-2012,398.00,404.70,396.80,403.65,401.939608939896516373,455531,8379,183095952.00,78476,17.23,7.90,5.65
7-November-2012,396.90,404.90,396.90,401.95,402.941471789462924157,430442,7975,173442933.00,103212,23.98,8.00,5.05
6-November-2012,394.70,399.45,393.60,398.70,396.667147868587532764,405928,7578,161018302.00,80022,19.71,5.85,4.00
5-November-2012,399.70,399.70,396.00,397.85,397.630020998058670047,353366,7115,140508930.00,83122,23.52,3.70,-1.85
2-November-2012,400.80,403.80,398.60,401.60,401.775081476500604634,737636,8593,296363764.00,372737,50.53,5.20,0.80
1-November-2012,392.50,399.80,392.05,397.80,395.958016071712528613,540826,10736,214144390.00,80727,14.93,7.75,5.30
31-October-2012,394.85,395.40,388.65,392.25,391.991296235473343629,572396,11393,224374250.00,134554,23.51,6.75,-2.60
30-October-2012,402.60,403.80,392.10,392.90,396.920229123594839531,539796,9237,214255952.00,149953,27.78,11.70,-9.70
29-October-2012,402.80,404.30,399.40,401.70,401.979023295512196868,335086,6219,134697543.00,60009,17.91,4.90,-1.10
26-October-2012,399.00,401.95,396.95,399.50,399.480580062873947875,512772,8835,204842456.00,89615,17.48,5.00,0.50
25-October-2012,405.90,406.90,398.35,399.60,403.677026223107280410,716086,8708,289067467.00,407968,56.97,8.55,-6.30
23-October-2012,404.45,409.75,404.05,404.70,407.124917087710965713,488468,6732,198867494.00,227994,46.68,5.70,0.25
22-October-2012,405.80,409.95,403.10,407.85,407.088541726547571690,434891,8450,177039143.00,66441,15.28,6.85,2.05
19-October-2012,411.00,412.50,405.00,407.10,408.815079869917535265,614687,11623,251293315.00,115239,18.75,7.50,-3.90
18-October-2012,410.50,412.40,406.00,411.65,409.858286301729908474,772353,13675,316555277.00,234208,30.32,6.40,1.15
17-October-2012,414.10,414.10,404.50,407.55,408.110181771705626440,602459,12517,245869652.00,91360,15.16,9.60,-6.55
16-October-2012,421.90,422.85,406.50,408.75,414.231933234384966390,652192,12462,270158753.00,185819,28.49,16.35,-13.15
15-October-2012,421.40,422.70,416.25,419.00,419.310567794496633136,601450,10956,252194341.00,91380,15.19,6.45,-2.40
12-October-2012,422.50,426.00,419.05,420.55,422.981707532915634996,1073502,19782,454071709.00,187427,17.46,6.95,-1.95
11-October-2012,413.60,421.90,410.15,420.35,416.588914479796386640,1157095,20009,482032950.00,355578,30.73,11.75,6.75
10-October-2012,412.00,418.00,410.00,411.65,414.541562108926895400,1227392,21198,508804997.00,176529,14.38,8.00,-0.35
9-October-2012,411.20,415.90,408.30,411.75,412.491437398078495698,836428,15335,345019388.00,136131,16.28,7.60,0.55
8-October-2012,409.00,417.80,405.85,407.55,412.353731518155079359,1314398,22997,541996920.00,290199,22.08,11.95,-1.45
5-October-2012,413.05,414.00,399.00,410.35,407.905847662602198984,1241573,21026,506444887.00,221573,17.85,15.00,-2.70
4-October-2012,405.70,412.60,405.70,409.50,409.660929770320235947,997171,20709,408501999.00,243469,24.42,6.90,3.80
3-October-2012,399.00,405.00,397.50,403.00,402.446383285420416859,856067,14902,344521068.00,144734,16.91,7.50,4.00
1-October-2012,402.00,402.80,393.10,398.85,397.203817823243392820,910676,16461,361723984.00,167551,18.40,9.70,-3.15
28-September-2012,400.05,408.90,399.30,400.75,405.035180850603328043,947163,16899,383634337.00,229827,24.26,9.60,0.70
27-September-2012,396.90,402.15,393.00,396.05,398.237600088009850741,754461,12466,300454738.00,169738,22.50,9.15,-0.85
26-September-2012,398.55,404.90,394.20,396.00,398.635000496436449659,926604,16295,369376786.00,220190,23.76,10.70,-2.55
25-September-2012,406.05,408.60,397.10,400.65,400.920587266137004356,710138,13423,284708944.00,147715,20.80,11.50,-5.40
24-September-2012,410.00,415.00,405.10,406.65,410.805470114127647362,703861,14068,289149949.00,173402,24.64,9.90,-3.35
21-September-2012,396.00,413.60,396.00,409.00,406.990144592271861246,1051301,19402,427869146.00,314401,29.91,17.60,13.00
20-September-2012,400.00,401.90,392.50,393.85,396.636674737255008048,591448,13024,234589968.00,135900,22.98,9.40,-6.15
18-September-2012,408.70,409.90,403.10,404.90,406.769735457870715048,494288,9822,201061399.00,100404,20.31,6.80,-3.80
17-September-2012,408.60,415.00,404.25,410.00,411.371528819506241895,1179930,22231,485389608.00,346064,29.33,10.75,1.40
14-September-2012,398.00,407.00,398.00,403.75,403.710048940887501043,1413542,25888,570661110.00,445855,31.54,9.00,5.75
13-September-2012,388.00,390.40,382.55,387.45,387.052268333483587262,598986,12429,231838890.00,101831,17.00,7.85,-0.55
12-September-2012,380.05,388.00,376.60,387.00,383.315184062279465824,813366,15585,311775538.00,163283,20.07,11.40,6.95
11-September-2012,379.00,379.00,374.30,376.90,376.716374492112240810,419384,8705,157988820.00,78008,18.60,4.70,-2.10
10-September-2012,374.50,383.00,374.50,379.90,379.722947471447501614,895018,18512,339858873.00,214342,23.95,8.50,5.40
8-September-2012,372.10,375.00,371.00,373.80,372.994291844356739861,151012,2978,56326614.00,57089,37.80,4.00,1.70
7-September-2012,361.10,371.80,361.00,370.70,366.680751205670668776,1468892,26163,538614422.00,452788,30.83,10.80,9.60
6-September-2012,350.95,353.70,347.55,350.65,351.141682838488674486,1018232,19095,357543698.00,235803,23.16,6.15,-0.30
5-September-2012,361.20,361.70,349.40,350.70,353.664131298981562109,1320650,27309,467066535.00,459169,34.77,12.30,-10.50
4-September-2012,358.00,364.85,355.45,363.10,361.753753398574278012,684846,14647,247745611.00,114853,16.77,9.40,5.10
3-September-2012,365.25,366.70,356.00,358.05,360.533604876374957393,877209,17732,316263323.00,194122,22.13,10.70,-7.20
31-August-2012,366.70,367.80,358.30,362.50,362.522147700564464497,1191749,23364,432035407.00,293828,24.66,9.50,-4.20
30-August-2012,374.00,374.00,365.25,366.70,368.135883956967176433,837965,17321,308484986.00,272013,32.46,8.75,-7.30
29-August-2012,377.00,379.05,373.10,374.40,375.705469171902966945,553667,11142,208015720.00,160830,29.05,5.95,-2.60
28-August-2012,388.00,388.90,373.65,378.40,378.438597971361220839,995643,19314,376789741.00,240013,24.11,15.25,-9.60
27-August-2012,390.70,391.30,385.00,385.50,387.511169654357146637,906832,12819,351407529.00,362199,39.94,6.30,-5.20
24-August-2012,395.80,396.25,385.20,387.70,389.195626113485856266,964314,20464,375306791.00,357995,37.12,11.05,-8.10
23-August-2012,395.00,402.80,395.00,398.60,399.539124863300575067,1075352,18755,429645197.00,249490,23.20,7.80,3.60
22-August-2012,392.00,396.50,389.35,392.60,393.391411196951959102,852482,14771,335359097.00,165110,19.37,7.15,0.60
21-August-2012,395.00,397.50,387.20,392.20,391.573396252415617502,921607,20368,360876783.00,246716,26.77,10.30,-2.80
17-August-2012,401.00,402.00,392.10,394.80,396.060997264165833640,760280,15405,301117255.00,183460,24.13,9.90,-6.20
16-August-2012,407.00,409.70,397.30,398.20,400.739604747982933707,871191,15212,349120737.00,322387,37.01,12.40,-8.80
14-August-2012,391.00,408.00,388.60,406.05,402.126197141188269393,1451792,26884,583803596.00,199937,13.77,19.40,15.05
13-August-2012,400.00,401.50,391.55,395.65,395.729492258274525700,814095,17411,322161401.00,166521,20.45,9.95,-4.35
10-August-2012,404.00,406.90,399.05,400.40,402.379229943048618628,473913,9280,190692748.00,88673,18.71,7.85,-3.60
9-August-2012,405.55,409.75,402.70,406.30,406.127900204653341966,614698,13574,249646008.00,106298,17.29,7.05,0.75
8-August-2012,407.00,414.85,407.00,408.35,410.860248056860892728,739911,14019,304000017.00,137195,18.54,7.85,1.35
7-August-2012,406.80,409.40,403.90,406.05,406.847771589802723976,473499,9314,192642013.00,79383,16.77,5.50,-0.75
6-August-2012,403.30,408.75,401.85,404.30,405.456896955477397469,448379,9541,181798358.00,99148,22.11,6.90,1.00
3-August-2012,403.00,403.00,392.35,396.95,396.043174207104865716,791908,17247,313629758.00,238032,30.06,10.65,-6.05
2-August-2012,409.90,410.35,402.90,405.90,405.742182572782943055,589836,12934,239321346.00,113996,19.33,7.45,-4.00
1-August-2012,415.00,416.70,408.50,409.35,411.326897457319477325,575731,11006,236813646.00,125314,21.77,8.20,-5.65
31-July-2012,410.50,415.75,401.40,413.60,408.463136048002250895,632637,12709,258408893.00,81880,12.94,14.35,3.10
30-July-2012,404.10,411.80,402.30,410.20,407.150203243479797682,594115,12422,241894043.00,167727,28.23,9.50,6.10
27-July-2012,390.00,402.45,390.00,399.30,397.837454196648706208,955989,20930,380328230.00,254491,26.62,12.45,9.30
26-July-2012,388.00,390.95,382.15,384.15,386.034677042029930044,968191,18770,373755300.00,263361,27.20,8.80,-3.85
25-July-2012,396.10,398.05,386.50,387.45,390.467704070320012211,897497,18011,350443593.00,294378,32.80,11.55,-8.65
24-July-2012,399.60,402.70,394.50,397.00,397.710721459467479257,700968,15075,278782489.00,199867,28.51,8.20,-2.60
23-July-2012,412.40,412.40,398.00,399.50,403.440575718694921395,734178,15214,296197195.00,287789,39.20,14.40,-12.90
20-July-2012,413.00,417.80,412.00,415.80,415.484380544478660813,402991,10753,167436466.00,79003,19.60,5.80,2.80
19-July-2012,415.00,416.60,412.75,414.65,414.834873543620346689,439875,8217,182475490.00,145974,33.19,3.85,-0.35
18-July-2012,408.00,413.75,404.55,411.15,409.691728553454826393,644591,12226,264083601.00,96503,14.97,9.20,3.15
17-July-2012,411.05,413.80,405.20,406.20,408.977948242178048345,723253,13398,295794528.00,159673,22.08,8.60,-4.85
16-July-2012,417.50,418.55,407.30,408.85,411.832033892633560632,687347,15110,283071513.00,230828,33.58,11.25,-8.65
13-July-2012,430.00,433.30,424.90,425.65,428.217611385704770918,570540,11145,244315276.00,123479,21.64,8.40,-4.35
12-July-2012,435.30,436.25,428.00,429.45,431.711287568433902773,534092,11177,230573545.00,141190,26.44,8.25,-5.85
11-July-2012,438.05,443.45,435.30,436.35,438.577871523312667496,573894,12435,251697209.00,142512,24.83,8.15,-1.70
10-July-2012,436.70,441.80,432.85,438.95,438.106533247575697605,565936,11536,247940259.00,121006,21.38,8.95,2.25
9-July-2012,444.00,444.70,435.15,437.05,438.744514787055899317,419218,9059,183929598.00,128819,30.73,9.55,-6.95
6-July-2012,452.15,452.70,444.00,447.45,447.046164824346378238,454047,8305,202979970.00,86840,19.13,8.70,-4.70
5-July-2012,451.25,453.40,448.30,451.25,451.328845605746610050,414018,8500,186858266.00,41086,9.92,5.10,0.00
4-July-2012,447.50,454.90,447.50,452.10,452.178079254283276077,685515,14249,309974856.00,113835,16.61,7.40,4.60
3-July-2012,448.40,450.25,442.50,445.65,446.322898870920090942,622808,12855,277973472.00,67162,10.78,7.75,-2.75
2-July-2012,442.60,453.90,441.55,447.00,447.417577147518037590,794452,16990,355451789.00,151200,19.03,12.35,4.40
29-June-2012,432.15,443.90,432.15,441.30,437.174709048559891684,752617,16107,329025118.00,280604,37.28,11.75,9.15
28-June-2012,422.10,429.90,420.50,428.40,425.269939318637510562,679286,14162,288879916.00,144820,21.32,9.40,6.30
27-June-2012,412.50,421.90,412.50,420.70,418.078135283415330541,709577,14972,296658629.00,142941,20.14,9.40,8.20
26-June-2012,412.35,412.50,405.80,410.40,409.360247603988769749,876561,18285,358829228.00,246243,28.09,6.70,-1.95
25-June-2012,421.00,424.70,412.10,414.55,419.167619176796633282,545576,11030,228687793.00,127743,23.41,12.60,-6.45
22-June-2012,425.40,426.90,416.60,418.65,420.424177111272151611,747914,14642,314441128.00,207624,27.76,10.30,-6.75
21-June-2012,423.80,431.90,423.00,430.25,427.167567442986044689,607439,12147,259478240.00,119024,19.59,8.90,6.45
20-June-2012,423.00,429.45,421.10,426.85,425.269948927578118040,808264,16976,343730390.00,126809,15.69,8.35,3.85
19-June-2012,420.00,424.90,415.60,420.20,420.310606519984887143,857548,19225,360436520.00,86225,10.05,9.30,0.20
18-June-2012,419.00,425.00,413.85,418.75,419.843708900146324732,1215789,23712,510441363.00,155787,12.81,11.15,-0.25
15-June-2012,407.50,414.90,407.50,413.40,411.680210529137301528,522303,12164,215021809.00,79730,15.27,7.40,5.90
14-June-2012,411.25,416.35,405.20,406.60,411.049223799707902400,672378,14187,276380455.00,86502,12.87,11.15,-4.65
13-June-2012,415.90,416.65,410.25,411.40,412.830631519486708659,656781,11789,271139315.00,122449,18.64,6.40,-4.50
12-June-2012,406.00,414.20,405.50,412.60,410.242535432650983150,787621,14346,323115636.00,147770,18.76,8.70,6.60
11-June-2012,416.05,418.80,407.00,409.85,414.482655105793459910,557974,12305,231270545.00,94282,16.90,11.80,-6.20
8-June-2012,412.00,416.35,406.00,410.50,410.950475454118859882,822582,16669,338040464.00,83559,10.16,10.35,-1.50
7-June-2012,415.00,419.50,410.05,411.60,414.450385714055161951,743556,16217,308167071.00,110196,14.82,9.45,-3.40
6-June-2012,402.00,410.90,402.00,409.65,407.984964690282430270,631979,12677,257837930.00,101471,16.06,8.90,7.65
5-June-2012,406.25,408.80,397.10,398.50,403.566078723933354648,562980,11632,227199631.00,111988,19.89,11.70,-7.75
4-June-2012,393.40,405.00,389.10,402.60,397.031544208292263720,728438,16264,289212864.00,90349,12.40,15.90,9.20
1-June-2012,403.00,407.40,396.10,398.00,402.219124104832562084,651973,12106,262236009.00,92848,14.24,11.30,-5.00
31-May-2012,406.00,407.00,400.00,402.85,403.722300523674714165,658424,12804,265820452.00,147603,22.42,7.00,-3.15
30-May-2012,412.10,414.50,408.10,410.25,411.283169612595068394,510422,9322,209927978.00,67517,13.23,6.40,-1.85
29-May-2012,413.15,418.20,410.70,415.80,415.277526000617569446,741617,14292,307976873.00,115602,15.59,7.50,2.65
28-May-2012,409.90,415.40,408.20,411.75,412.082957051681638826,632062,12416,260461978.00,123365,19.52,7.20,1.85
25-May-2012,397.95,409.80,396.00,408.25,405.271884477054728815,943397,18287,382332280.00,144039,15.27,13.80,10.30
24-May-2012,397.75,402.40,391.50,398.55,397.249957687264882235,886258,16720,352065953.00,78566,8.86,10.90,0.80
23-May-2012,397.90,401.40,394.10,396.15,397.620465354742996771,916720,15174,364506633.00,113702,12.40,7.30,-1.75
22-May-2012,407.50,409.90,397.10,399.35,404.535203751938365878,1056947,21560,427572270.00,132205,12.51,12.80,-8.15
21-May-2012,394.05,405.95,389.00,402.20,397.347805569901662895,2288658,44000,909393234.00,266766,11.66,16.95,8.15
18-May-2012,399.80,402.00,390.65,399.85,397.143659414641400102,1667764,31382,662341898.00,230623,13.83,11.35,0.05
17-May-2012,403.50,409.80,402.00,405.85,405.889167435265054709,984476,18319,399588144.00,204026,20.72,7.80,2.35
16-May-2012,410.00,410.90,399.00,401.55,404.181011215637129772,1188965,23227,480557076.00,222671,18.73,11.90,-8.45
15-May-2012,406.25,419.00,404.30,417.80,413.652655777572614999,977002,18658,404139472.00,92173,9.43,14.70,11.55
14-May-2012,410.00,417.40,402.75,408.05,409.402632840237018479,890901,16746,364737215.00,175804,19.73,14.65,-1.95
11-May-2012,411.50,419.80,409.00,411.75,413.848630222551716087,976582,19433,404157123.00,165563,16.95,10.80,0.25
10-May-2012,418.75,424.90,413.70,415.35,419.422506944391220231,913327,18548,383069900.00,130175,14.25,11.20,-3.40
9-May-2012,422.95,432.50,414.55,417.35,423.464968443074609892,1053493,21433,446117380.00,183704,17.44,17.95,-5.60
8-May-2012,445.40,446.00,424.00,427.35,434.663999839085199358,795452,16548,345754348.00,155341,19.53,22.00,-18.05
7-May-2012,420.35,443.70,420.35,441.60,430.182935769896193771,924800,18833,397833179.00,96512,10.44,23.35,21.25
4-May-2012,444.30,445.80,430.40,433.55,436.430189751857644103,868977,17661,379247797.00,191880,22.08,15.40,-10.75
3-May-2012,458.00,459.85,446.45,448.30,451.908958246644222067,687322,13306,310606969.00,132415,19.27,13.40,-9.70
